iter	Passed	Remaining
0	64	64890
1	65	32613
2	65	21854
3	66	16517
4	67	13409
5	67	11237
6	68	9664
7	68	8496
8	68	7590
9	69	6864
10	70	6336
11	71	5849
12	71	5422
13	71	5055
14	72	4741
15	72	4475
16	73	4225
17	73	4017
18	74	3827
19	74	3648
20	75	3502
21	75	3355
22	75	3226
23	76	3114
24	77	3006
25	77	2909
26	78	2813
27	78	2722
28	78	2644
29	79	2570
30	79	2497
31	80	2432
32	80	2363
33	80	2298
34	81	2237
35	82	2202
36	82	2152
37	83	2105
38	83	2055
39	83	2011
40	84	1974
41	84	1933
42	85	1894
43	85	1858
44	85	1822
45	86	1790
46	86	1761
47	87	1729
48	87	1698
49	88	1676
50	88	1647
51	88	1621
52	89	1597
53	89	1572
54	90	1546
55	90	1526
56	90	1503
57	91	1482
58	91	1461
59	92	1441
60	92	1426
61	93	1407
62	93	1388
63	93	1370
64	94	1354
65	94	1337
66	94	1320
67	95	1302
68	95	1286
69	96	1276
70	96	1263
71	96	1249
72	97	1235
73	97	1221
74	98	1210
75	98	1199
76	99	1186
77	99	1174
78	99	1161
79	100	1151
80	100	1140
81	100	1129
82	101	1119
83	101	1109
84	101	1097
85	102	1087
86	102	1075
87	102	1065
88	103	1057
89	103	1051
90	104	1042
91	104	1034
92	105	1026
93	105	1017
94	105	1009
95	106	1002
96	106	993
97	108	995
98	108	986
99	108	979
100	109	970
101	109	962
102	109	954
103	110	947
104	110	940
105	110	933
106	111	927
107	111	920
108	111	913
109	112	907
110	112	900
111	112	895
112	113	888
113	113	884
114	114	878
115	114	871
116	115	871
117	115	865
118	116	860
119	116	855
120	117	851
121	117	845
122	117	838
123	117	833
124	118	828
125	118	823
126	118	817
127	119	811
128	119	806
129	119	801
130	119	795
131	120	790
132	120	786
133	121	786
134	122	782
135	122	777
136	122	772
137	122	768
138	123	764
139	123	760
140	124	755
141	124	753
142	125	749
143	125	746
144	126	743
145	126	740
146	127	737
147	127	733
148	128	731
149	128	728
150	129	726
151	129	723
152	130	720
153	130	717
154	130	713
155	131	709
156	131	707
157	132	705
158	132	701
159	133	699
160	133	696
161	134	696
162	134	692
163	135	689
164	135	687
165	136	683
166	136	681
167	137	678
168	137	675
169	137	673
170	138	671
171	138	668
172	139	665
173	139	663
174	140	661
175	140	659
176	141	656
177	141	654
178	142	652
179	142	649
180	142	646
181	143	643
182	143	640
183	143	637
184	144	634
185	144	632
186	144	629
187	145	626
188	145	624
189	145	621
190	146	618
191	146	616
192	146	613
193	147	611
194	147	608
195	147	606
196	148	603
197	148	602
198	148	599
199	149	597
200	149	595
201	150	593
202	150	590
203	150	588
204	151	585
205	151	583
206	151	581
207	152	579
208	153	579
209	153	578
210	153	575
211	154	573
212	154	571
213	155	569
214	155	568
215	156	566
216	156	565
217	157	563
218	158	564
219	158	562
220	159	560
221	159	559
222	159	557
223	160	555
224	160	553
225	161	552
226	161	551
227	162	550
228	163	548
229	163	546
230	163	545
231	164	543
232	164	542
233	165	540
234	165	539
235	166	537
236	166	536
237	166	534
238	167	532
239	167	531
240	168	529
241	168	527
242	169	526
243	169	524
244	169	522
245	170	521
246	170	519
247	170	518
248	171	517
249	172	516
250	172	514
251	173	513
252	173	512
253	174	511
254	174	509
255	174	508
256	175	507
257	175	505
258	176	503
259	176	502
260	176	501
261	177	500
262	178	499
263	178	498
264	179	497
265	179	496
266	180	495
267	180	493
268	181	492
269	181	491
270	182	489
271	182	488
272	182	487
273	183	485
274	183	484
275	184	483
276	184	482
277	185	481
278	185	480
279	186	478
280	186	478
281	187	476
282	187	475
283	188	475
284	188	473
285	189	472
286	189	471
287	190	470
288	190	468
289	191	468
290	191	467
291	192	466
292	193	466
293	193	465
294	194	464
295	194	462
296	194	461
297	195	460
298	195	458
299	196	457
300	196	456
301	196	454
302	197	453
303	197	451
304	197	450
305	198	450
306	199	449
307	199	448
308	199	446
309	200	445
310	200	444
311	200	443
312	201	442
313	202	441
314	202	440
315	202	438
316	203	437
317	203	436
318	203	435
319	204	434
320	205	433
321	205	433
322	206	432
323	206	431
324	207	430
325	207	429
326	208	428
327	208	427
328	209	426
329	209	425
330	209	424
331	210	423
332	210	422
333	211	421
334	211	419
