iter	Passed	Remaining
0	64	64175
1	64	32255
2	65	21711
3	66	16437
4	66	13238
5	66	11090
6	67	9581
7	67	8427
8	68	7523
9	68	6797
10	69	6209
11	69	5718
12	69	5298
13	70	4943
14	70	4635
15	70	4358
16	71	4118
17	71	3905
18	71	3712
19	72	3536
20	72	3386
21	72	3241
22	73	3110
23	74	3020
24	74	2907
25	74	2807
26	75	2711
27	75	2621
28	75	2537
29	76	2461
30	76	2390
31	76	2323
32	77	2260
33	77	2199
34	77	2141
35	77	2087
36	78	2035
37	78	1990
38	78	1944
39	79	1901
40	79	1861
41	79	1823
42	80	1788
43	80	1753
44	81	1725
45	81	1692
46	82	1664
47	82	1639
48	82	1610
49	83	1585
50	83	1557
51	83	1531
52	84	1506
53	84	1481
54	84	1458
55	85	1437
56	85	1417
57	86	1396
58	86	1378
59	86	1362
60	87	1346
61	87	1328
62	88	1312
63	88	1295
64	89	1280
65	89	1265
66	89	1250
67	90	1236
68	90	1220
69	90	1208
70	91	1197
71	91	1183
72	92	1171
73	92	1159
74	93	1148
75	93	1138
76	94	1127
77	94	1117
78	94	1107
79	95	1097
80	95	1087
81	96	1078
82	96	1065
83	96	1057
84	97	1047
85	97	1037
86	98	1028
87	98	1020
88	98	1011
89	99	1003
90	99	994
91	99	986
92	100	979
93	100	972
94	101	966
95	101	958
96	102	952
97	102	945
98	103	939
99	103	932
100	104	925
101	104	918
102	104	912
103	105	906
104	105	900
105	106	894
106	107	894
107	107	889
108	108	882
109	108	877
110	108	872
111	109	867
112	109	861
113	110	855
114	110	851
115	111	847
116	111	841
117	111	836
118	112	831
119	112	826
120	113	822
121	113	817
122	114	813
123	114	808
124	114	803
125	115	799
126	115	794
127	115	790
128	116	786
129	116	782
130	117	778
131	117	775
132	118	770
133	118	767
134	119	764
135	119	760
136	120	756
137	120	752
138	120	749
139	121	745
140	121	741
141	121	737
142	122	733
143	122	729
144	123	725
145	123	722
146	124	719
147	124	716
148	124	713
149	125	709
150	125	706
151	126	703
152	126	701
153	127	698
154	127	695
155	127	692
156	128	689
157	128	686
158	129	683
159	129	681
160	129	677
161	130	674
162	130	671
163	131	668
164	131	665
165	131	663
166	132	659
167	132	657
168	133	654
169	133	651
170	133	649
171	134	646
172	134	643
173	135	641
174	135	639
175	135	636
176	136	633
177	136	631
178	137	629
179	137	627
180	138	625
181	138	622
182	138	620
183	139	618
184	139	615
185	140	613
186	140	610
187	140	608
188	141	606
189	141	604
190	142	601
191	142	599
192	142	597
193	143	595
194	143	593
195	144	592
196	144	589
197	145	587
198	145	585
199	145	583
200	146	581
201	146	580
202	147	578
203	147	576
204	148	574
205	148	572
206	149	571
207	149	569
208	149	567
209	150	565
210	150	563
211	151	561
212	151	559
213	151	557
214	152	555
215	152	553
216	152	551
217	153	549
218	153	547
219	154	546
220	154	545
221	155	543
222	155	542
223	155	540
224	156	538
225	156	536
226	157	535
227	158	535
228	158	534
229	159	532
230	159	531
231	159	529
232	160	527
233	160	526
234	161	524
235	161	523
236	162	521
237	162	519
238	162	518
239	163	516
240	163	514
241	163	513
242	164	511
243	164	510
244	165	508
